,0,1,2,3,4
0,[     145.38      882.79      468.55        1061],,0.87537915,0,1
1,[     293.62      839.45      576.45       973.5],,0.7982901,0,2
2,[     1676.5      939.99      1920.3      1079.1],,0.5827742,0,4
3,[     312.19      687.82      348.42      769.82],,0.5549562,0,6
4,[     1601.1      886.83      1893.8      1015.3],,0.546882,0,7
5,[     644.23      631.24      822.94      723.28],,0.50284356,0,19
6,[     915.56       571.6      1003.4      615.03],,0.5431126,0,3
7,[     1366.6      681.08        1563      776.68],,0.42337736,0,12
8,[     283.53      673.75      315.84      764.38],,0.5021243,0,25
9,[      562.2      681.57       757.1      773.86],,0.33682415,0,50
10,[     1563.4      835.69      1824.7      949.14],,0.32638916,0,26
11,[     409.11      806.46      645.57      913.49],,0.3811834,0,47
